지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C)
108,서울,1999-04,13.9,19.3,8.7,28.2,1.6
108,서울,1999-05,17.5,22.7,12.4,28.1,10.2
108,서울,1999-06,23.1,28.3,18.5,33.6,15.8
108,서울,1999-07,25.9,30,22.3,34.9,18.2
108,서울,1999-08,26,30.2,22.3,35.4,19.5
108,서울,1999-09,22.9,27,19.4,32,12.8
108,서울,1999-10,14.3,19.1,10,24,1.5
108,서울,1999-11,7.9,12.6,3.8,18.6,-6.1
108,서울,1999-12,.4,4.4,-3.4,12,-11.5
108,서울,2000-01,-2.1,1.7,-5.7,9.9,-12.1
108,서울,2000-02,-1.7,2.6,-5.8,7.5,-11.6
108,서울,2000-03,6.3,11.4,1.7,18.9,-4.8
108,서울,2000-04,11.9,16.9,7.3,23.5,1.8
108,서울,2000-05,17.5,22.7,12.9,30.5,7.9
108,서울,2000-06,23.7,29.2,19.1,33.9,14.6
108,서울,2000-07,26.8,31,23.1,34.2,19.9
108,서울,2000-08,26.2,30,22.9,35.1,19
108,서울,2000-09,20.7,24.8,17.1,31,11.9
108,서울,2000-10,14.9,19.2,10.7,26.5,3.5
108,서울,2000-11,7,11.1,2.7,20.3,-3.8
108,서울,2000-12,.9,4.9,-2.9,11.9,-11.4
108,서울,2001-01,-4.1,-.8,-7.8,6.8,-18.6
108,서울,2001-02,-.3,3.7,-3.7,12.2,-10.4
108,서울,2001-03,5,9.6,.9,21,-6.1
108,서울,2001-04,13.6,19.2,8.7,28.2,2.1
108,서울,2001-05,19.1,24.7,14.8,31.5,10.4
108,서울,2001-06,22.5,27.1,19.2,32.7,15.6
108,서울,2001-07,25.9,29.9,22.9,32.8,20.3
108,서울,2001-08,26.5,30.8,22.8,35.3,19.4
108,서울,2001-09,22.5,27.5,17.9,31.7,11
108,서울,2001-10,16.5,21,12.4,25.3,8.8
108,서울,2001-11,7,11.5,2.9,16,-3.1
108,서울,2001-12,-.6,3.4,-4,10.9,-8.8
108,서울,2002-01,.3,3.9,-2.9,13.5,-12
108,서울,2002-02,2.9,7.1,-.8,12.6,-5.1
108,서울,2002-03,7.6,12.4,3.6,19.4,-2.9
108,서울,2002-04,13.6,18.6,8.8,27.7,4.3
108,서울,2002-05,18.2,23.5,13.3,27.7,10
108,서울,2002-06,22.2,27.3,17.9,32,14.5
108,서울,2002-07,25.2,28.8,22.2,34.8,18.9
108,서울,2002-08,24.2,27.5,21.4,32.2,17.9
108,서울,2002-09,21.6,26.1,17.8,30.6,13.5
108,서울,2002-10,12.8,17.7,8.8,24.9,-.3
108,서울,2002-11,4,8,.3,16.7,-4.8
108,서울,2002-12,1.7,5.3,-1.6,15.9,-9.1
108,서울,2003-01,-2.5,1.1,-5.8,8.7,-15.5
108,서울,2003-02,2.7,6.6,-.7,11.9,-8.3
108,서울,2003-03,6.5,10.6,2.9,20.9,-5
